2017-07-28 10:42:31: 	{"query": "打开车灯", "uid": "222"}

2017-07-28 10:42:32: 	{"semantic": {"slots": {}}, "text": "", "rc": 0, "topic": "", "answer": {"state": 0, "result": {}}, "intent": "", "sc": 0, "data": {"result": {"list": ["怎么调节安全带高度", "怎么调节空调温度", "如何提高巡航车速", "节气门多长时间需要清洗", "车辆使用多长时间需要换刹车片", "机油机滤（小保养）的作用", "汽滤有什么作用", "不按周期更换空滤有什么隐患", "座椅通风失灵怎么回事", "踩油门变速箱明显抖动", "急刹车有咔咔的响", "人保车险的客服电话是多少", "太平洋车险购买车险的电话是多少", "平安车险保费计算网址是什么", "交强险投保金额是多少", "什么是车损险", "车损险赔付限额是否累加计算", "车身划痕险免赔率是多少"]}}}

2017-07-28 10:43:05: 	{"query": "打开车灯", "uid": "222"}

2017-07-28 10:43:05: 	{"semantic": {"slots": {}}, "text": "", "rc": 0, "topic": "", "answer": {"state": 0, "result": {}}, "intent": "", "sc": 0, "data": {"result": {"list": ["怎么调节安全带高度", "怎么调节空调温度", "如何提高巡航车速", "节气门多长时间需要清洗", "车辆使用多长时间需要换刹车片", "机油机滤（小保养）的作用", "汽滤有什么作用", "不按周期更换空滤有什么隐患", "座椅通风失灵怎么回事", "踩油门变速箱明显抖动", "急刹车有咔咔的响", "人保车险的客服电话是多少", "太平洋车险购买车险的电话是多少", "平安车险保费计算网址是什么", "交强险投保金额是多少", "什么是车损险", "车损险赔付限额是否累加计算", "车身划痕险免赔率是多少"]}}}

2017-07-28 10:44:02: 	{"query": "调节座椅", "uid": "222"}

2017-07-28 10:44:05: 	{"query": "调节座椅", "uid": "222"}

2017-07-28 10:50:51: 	{"query": "调节座椅", "uid": "222"}

2017-07-28 10:50:52: 	{"semantic": {"slots": {"function": "", "property": "", "part": "座椅", "position": "", "operate": "调节", "condition": ""}}, "text": "调节座椅", "rc": 0, "topic": "manual", "answer": {"state": 0, "result": {}}, "intent": "query", "sc": 1, "data": {"result": {"list": ["主驾驶座椅", "副驾驶座椅", "后排座椅"], "uplist": ["主驾驶座椅", "副驾驶座椅", "后排座椅"], "title": "你需要调节哪个座椅"}}}

2017-07-28 10:50:58: 	{"query": "主驾驶座椅", "uid": "222"}

2017-07-28 10:50:58: 	{"semantic": {"slots": {"function": "", "property": "", "part": "座椅", "position": "主驾驶", "operate": "调节", "condition": ""}}, "text": "主驾驶座椅", "rc": 0, "topic": "manual", "answer": {"state": 1, "result": {"image": "g03.png", "method": "沿箭头3或箭头4方向掰动开关，可调节座椅升高或降低。"}}, "intent": "query", "sc": 0, "data": {"result": {}}}

2017-07-28 10:52:53: 	{"query": "调节座椅", "uid": "222"}

2017-07-28 10:52:54: 	{"semantic": {"slots": {"function": "", "property": "", "part": "座椅", "position": "", "operate": "调节", "condition": ""}}, "text": "调节座椅", "rc": 0, "topic": "manual", "answer": {"state": 0, "result": {}}, "intent": "query", "sc": 1, "data": {"result": {"list": ["主驾驶座椅", "副驾驶座椅", "后排座椅"], "uplist": ["主驾驶座椅", "副驾驶座椅", "后排座椅"], "title": "你需要调节哪个座椅"}}}

2017-07-28 11:08:25: 	{"query": "打开车灯", "uid": "222"}

2017-07-28 11:08:26: 	{"semantic": {"slots": {}}, "text": "", "rc": 0, "topic": "", "answer": {"state": 0, "result": {}}, "intent": "", "sc": 0, "data": {"result": {"list": ["怎么调节安全带高度", "怎么调节空调温度", "如何提高巡航车速", "节气门多长时间需要清洗", "车辆使用多长时间需要换刹车片", "机油机滤（小保养）的作用", "汽滤有什么作用", "不按周期更换空滤有什么隐患", "座椅通风失灵怎么回事", "踩油门变速箱明显抖动", "急刹车有咔咔的响", "人保车险的客服电话是多少", "太平洋车险购买车险的电话是多少", "平安车险保费计算网址是什么", "交强险投保金额是多少", "什么是车损险", "车损险赔付限额是否累加计算", "车身划痕险免赔率是多少"]}}}

2017-07-28 11:12:09: 	{"query": "打开转向灯", "uid": "222"}

2017-07-28 11:12:09: 	{"semantic": {"slots": {}}, "text": "", "rc": 0, "topic": "", "answer": {"state": 0, "result": {}}, "intent": "", "sc": 0, "data": {"result": {"list": ["怎么调节安全带高度", "怎么调节空调温度", "如何提高巡航车速", "节气门多长时间需要清洗", "车辆使用多长时间需要换刹车片", "机油机滤（小保养）的作用", "汽滤有什么作用", "不按周期更换空滤有什么隐患", "座椅通风失灵怎么回事", "踩油门变速箱明显抖动", "急刹车有咔咔的响", "人保车险的客服电话是多少", "太平洋车险购买车险的电话是多少", "平安车险保费计算网址是什么", "交强险投保金额是多少", "什么是车损险", "车损险赔付限额是否累加计算", "车身划痕险免赔率是多少"]}}}

2017-07-28 11:14:10: 	{"query": "打开转向灯", "uid": "222"}

2017-07-28 11:14:10: 	{"semantic": {"slots": {}}, "text": "", "rc": 0, "topic": "", "answer": {"state": 0, "result": {}}, "intent": "", "sc": 0, "data": {"result": {"list": ["怎么调节安全带高度", "怎么调节空调温度", "如何提高巡航车速", "节气门多长时间需要清洗", "车辆使用多长时间需要换刹车片", "机油机滤（小保养）的作用", "汽滤有什么作用", "不按周期更换空滤有什么隐患", "座椅通风失灵怎么回事", "踩油门变速箱明显抖动", "急刹车有咔咔的响", "人保车险的客服电话是多少", "太平洋车险购买车险的电话是多少", "平安车险保费计算网址是什么", "交强险投保金额是多少", "什么是车损险", "车损险赔付限额是否累加计算", "车身划痕险免赔率是多少"]}}}

2017-07-28 11:15:51: 	{"query": "打开转向灯", "uid": "222"}

